Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded;Tax rules ID;Quantity;Summary;Description;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Usuń istniejące zdjęcia (0 = Nie, 1 = Tak)
;1;GRUZIŃSKA BOP;Herbata,Klasyczna,Herbata Czarna,Herbaty gruzińskie;13.45;1;51;Herbata pochodząca z górskich zboczy Kaukazu.;Herbata pochodząca z górskich zboczy Kaukazu. Intensywna, a zarazem lekko słodka w smaku, rozgrzewająca i pobudzająca.;1;http://localhost/images/product_images/gruziskabop/img_0.jpg;1
;1;GUNPOWDER SUPER BLACK;Herbata,Klasyczna,Herbata Czarna,Herbaty chińskie;23.95;1;60;Czarna herbata o dymno-korzennym aromacie.;Czarna herbata z prowincji Hubei zwinięta w malutkie kuleczki, które po zaparzeniu rozwijają się uwalniając dymno-korzenny aromat i aksamitny, słodkawy smak. Herbatę można parzyć nawet trzykrotnie, z każdym kolejnym parzeniem odkrywa nowe smaki.;1;http://localhost/images/product_images/gunpowdersuperblack/img_0.jpg;1
;1;KENYA TINDERET GFOP;Herbata,Klasyczna,Herbata Czarna,Herbaty kenijskie;23.95;1;13;Doskonała czarna kenijska herbata.;Herbata Kenya Tinderet posiada pikantny i bogaty charakter z wyczuwalną nutą cytryny. Doskonałe kenijskie liście przypominają nieco herbaty Assam, przede wszystkim te lekkie, wyższej jakości. Herbata Tinderet uprawiana jest na wysokości od 1500 do 2000 m n. p.m.;1;http://localhost/images/product_images/kenyatinderetgfop/img_0.jpg;1
;1;LAPSANG SOUCHONG;Herbata,Klasyczna,Herbata Czarna,Herbaty chińskie;16.45;1;38;"Herbata o specyficznym ""dymnym"" smaku i aromacie.";Lapsang Souchong to herbata chińska z prowincji Fukien z wyraźnym, wędzonym aromatem. Powstaje on podczas procesu wędzenia herbaty w dymie z korzeni chińskiej sosny. Posiada wiele minerałów pochodzących z gleby terenów Fukien. Smukłe, podłużnie zwijane liście tej herbaty dają napar o czerwonej barwie i przydymionym smaku. Polecana m.in do obfitych śniadań w stylu angielskim i do potraw rybnych.;1;http://localhost/images/product_images/lapsangsouchong/img_0.jpg;1
;1;NEPAL MALOOM FTGFOPI;Herbata,Klasyczna,Herbata Czarna,Herbaty nepalskie;24.45;1;85;Najwyższej jakości czarna herbata z Nepalu.;Ta wyjątkowa herbata uprawiana jest na plantacjach zlokalizowanych w wysokich partiach gór. Tamtejsze warunki atmosferyczne, niska temperatura powietrza, duża ilość słońca i niższe ciśnienie wpływają na smak i aromat. Napar ma jasną, delikatną barwę, charakterem przypomina herbatę Darjeeling z nutą kwiatowego posmaku. Produkt ten uznaje się za najwyższej jakości. Na jego susz składają się tylko najmłodsze części krzewów herbaty, a więc pączki oraz jeden najmłodszy, już rozwinięty listek. Nepal Maloom to wspaniała alternatywa dla lubiących wysublimowany smak herbaty.;1;http://localhost/images/product_images/nepalmaloomftgfopi/img_0.jpg;1
;1;SENCHA BLACK;Herbata,Klasyczna,Herbata Czarna,Herbaty chińskie Zheijang;19.45;1;1;Herbata czarna o delikatnym smaku.;Czarna herbata z chińskiej prowincji Zhejiang. Produkowana tak jak herbaty czarne, ale zwijana na sposób charakterystyczny dla zielonej Senchy. W smaku delikatna, jednak z lekko pikantną nutą.  Składniki: herbata czarna 100%  Kraj pochodzenia: Chiny;1;http://localhost/images/product_images/senchablack/img_0.jpg;1
;1;TURECKA BOP;Herbata,Klasyczna,Herbata Czarna,Herbaty tureckie;16.45;1;42;Herbata czarna z rejonu Morza Czarnego.;Czarna herbata pochodząca z rejonu Morza Czarnego. Jej drobne, połamane listki szybko dają napar o unikalnym kolorze, smaku i słodowym aromacie.  Składniki: herbata czarna 100%  Kraj pochodzenia: Turcja;1;http://localhost/images/product_images/tureckabop/img_0.jpg;1
;1;YUN MING CZARNY;Herbata,Klasyczna,Herbata Czarna,Herbaty chińskie;29.95;1;64;Herbata czarna o lekko słodkawym smaku.;Yun ming to klasyczna chińska czarna herbata, polecana szczególnie miłośnikom mocnych, ale pozbawionych goryczy naparów. Posiada głęboki, wyrazisty smak i niezwykle przyjemny herbaciany posmak. Odmiana ta świetnie nadaje się do picia bez żadnych dodatków. Zawiera także sporo teiny.;1;http://localhost/images/product_images/yunmingczarny/img_0.jpg;1
;1;YUNNAN BLACK PREMIUM;Herbata,Klasyczna,Herbata Czarna,Herbaty w puszkach firmowych,Herbaty chińskie Yunnan,Herbaty chińskie;19.45;1;10;Herbata czarna o mocnym aromacie.;Herbata ta pochodzi z górskiej prowincji Yunnan położonej w Chinach przy granicy z Wietnamem, Birmą i Laosem. Krzewy herbaciane charakteryzują się szerokimi i mięsistymi liśćmi o połyskującej powierzchni. W suszu wyraźnie widać jaśniejsze listki (tzw. tipsy). Napar charakteryzuje się brązowym kolorem, intensywnym, charakterystycznym zapachem i posmakiem. Jest to dość mocna, cierpka w smaku herbata.;1;http://localhost/images/product_images/yunnanblackpremium/img_0.jpg, http://localhost/images/product_images/yunnanblackpremium/img_1.jpg;1
;1;BANCHA;Herbata,Klasyczna,Herbata Zielona,Herbaty chińskie,Herbaty do restauracji;19.45;1;31;Zielona herbata typu japońskiego;Bancha należy do grona herbat zielonych. Pozyskiwana jest z krzewu Camellia sinensis czyli z tego samego, z którego pozyskuje się herbatę Sencha. Sencha powstaje z pierwszego zbioru delikatnych, młodych listków herbaty. Bancha zaś to tzw. herbata późnego zbioru (zbierana późnym latem, jesienią, a nawet i niekiedy zimą). Wyróżnia się Banchę z drugiego zbioru, uzyskiwaną najwcześniej – pod koniec lata, tradycyjnie nazywaną nibanchą. Charakteryzuje się najwyższą jakością. Bancha z trzeciego zbioru – to sanbancha, a z czwartego to yonbancha. W obrocie towarowym wszystkie trzy zbiory noszą jedną nazwę Bancha. Bancha produkowana jest z liści twardszych, grubo żyłkowanych z łodyżkami. W Japonii to jedna z najpopularniejszych herbat. Jednak mało znana w Europie. Na Starym Kontynencie jest napojem cenionym głównie przez makrobiotyków i wegetarian.;1;http://localhost/images/product_images/bancha/img_0.jpg;1
;1;BI LUO CHUN;Herbata,Klasyczna,Herbata Zielona,Herbaty chińskie;22.45;1;40;Chińska zielona herbata o mocno zwiniętych listkach.;Bi Luo Chun to zielona herbata pochodząca z Dongting w prowincji Jiangsu w Chinach. Herbata wytrwarzana jest z młodych, świeżych pączków herbacianych, które zrywane są wczesną wiosną. Na plantacjach wśród krzewów herbacianych sadzone są drzewka owocowe, które zapewniają herbacie cień, a także przekazują swój zapach gdy kwitną.;1;http://localhost/images/product_images/biluochun/img_0.jpg;1
;1;CEYLON DIMBULA OPA2;Herbata,Klasyczna,Herbata Zielona,Herbaty cejlońskie,Herbaty do biura,Herbaty Sri Lanka;19.95;1;28;Cejlońska zielona herbata.;Zielona herbata z wysokich gór Sri Lanki. Charakteryzuje się dużymi, mocno skręconymi liśćmi, które po zalaniu wodą uwalniają swój szlachetny, a zarazem delikatny smak. Idealna dla miłośników cejlońskich herbat.;1;http://localhost/images/product_images/ceylondimbulaopa2/img_0.jpg;1
;1;CHINA GREEN YUNNAN;Herbata,Klasyczna,Herbata Zielona,Herbaty w puszkach firmowych,Herbaty chińskie Yunnan;19.95;1;5;Wyjątkowa w smaku herbata zielona z rejonu Yunnan.;Herbata zielona pochodząca z prowincji Yunnan. Wyjątkowo odświeżająca i pobudzająca do aktywności. Herbata pochodzi z górskiej prowincji Yunnan położonej w Chinach przy granicy z Wietnamem, Birmą i Laosem. Krzewy herbaciane charakteryzują się szerokimi i mięsistymi liśćmi o połyskującej powierzchni. Napar o delikatnym smaku uznawanym przez miłośników herbaty na całym świecie. China Yunnan jest uznawana za jedną z najlepszych klasycznych herbat na rynku. Herbatę zieloną otrzymuje się poddając suszeniu liście niezwłocznie po zerwaniu ich z krzewu, tak aby nie dopuścić do rozpoczęcia procesu utleniania. Dzięki temu herbata zielona utrzymuje więcej składników o leczniczych właściwościach. Herbata zielona posiada bardzo ziołowy aromat oraz wyraźnie delikatniejszy smak niż pozostałe rodzaje herbat. Najbardziej popularne odmiany zielonej herbaty to: Sencha, Genmaicha oraz Gunpowder. Szczególną popularnością herbaty zielone cieszą się w Chinach oraz Japonii.;1;http://localhost/images/product_images/chinagreenyunnan/img_0.jpg, http://localhost/images/product_images/chinagreenyunnan/img_1.jpg;1
;1;CHINA GUNPOWDER;Herbata,Klasyczna,Herbata Zielona,Herbaty chińskie;13.45;1;25;Zielona herbata Gunpowder o gorzkim smaku.;Mianem Gunpowder (czyli proch strzelniczy) jest nazywana herbata o listkach zwiniętych do postaci herbacianych kulek małej średnicy, twardych w dotyku, o szaro-zielonym odcieniu. China Gunpowder pochodzi z chińskiej prowincji Anhwei gdzie jest produkowany podczas wyjątkowo krótkich zbiorów. W Chinach ten rodzaj herbaty nosi nazwę perłowej. Herbata zielona Gunpowder charakteryzuje się bardzo wyraźnym gorzkim smakiem i złocistą barwą naparu. Herbatę zieloną otrzymuje się poddając suszeniu liście niezwłocznie po zerwaniu ich z krzewu, tak aby nie dopuścić do rozpoczęcia procesu utleniania. Dzięki temu herbata zielona utrzymuje więcej składników o leczniczych właściwościach. Herbata zielona posiada bardzo ziołowy aromat oraz wyraźnie delikatniejszy smak niż pozostałe rodzaje herbat. Najbardziej popularne odmiany zielonej herbaty to: Sencha, Genmaicha oraz Gunpowder. Szczególną popularnością herbaty zielone cieszą się w Chinach oraz Japonii.;1;http://localhost/images/product_images/chinagunpowder/img_0.jpg;1
;1;CHINA GUNPOWDER SUPER;Herbata,Klasyczna,Herbata Zielona,Herbaty chińskie,Herbaty do gastronomii;14.45;1;22;Herbata zaliczana do specjałów.;Mianem Gunpowder (czyli proch strzelniczy) jest nazywana herbata o listkach zwiniętych do postaci herbacianych kulek małej średnicy, twardych w dotyku, o szaro-zielonym odcieniu. China Gunpowder pochodzi z chińskiej prowincji Anhwei, gdzie jest produkowany podczas wyjątkowo krótkich zbiorów. W Chinach ten rodzaj herbaty nosi nazwę perłowej. Charakteryzuje się bardzo wyraźnym gorzkim smakiem i złocistą barwą naparu.;1;../images/product_images/chinagunpowdersuper/img_0.jpg;1
;1;GEN MAI CHA;Herbata,Klasyczna,Herbata Zielona,Herbaty chińskie;19.95;1;39;Zielona herbata z prażonymi ziarenkami ryżu.;Gen mai cha to odmiana zielonej herbaty wzbogacona prażonymi ziarenkami ryżu. Po zaparzeniu otrzymujemy złoto-zielony napar o słodkawym smaku z delikatną kasztanową nutą. Herbatę zieloną otrzymuje się poddając suszeniu liście niezwłocznie po zerwaniu ich z krzewu, tak aby nie dopuścić do rozpoczęcia procesu utleniania. Dzięki temu herbata zielona utrzymuje więcej składników o leczniczych właściwościach. Herbata zielona posiada bardzo ziołowy aromat oraz wyraźnie delikatniejszy smak niż pozostałe rodzaje herbat. Najbardziej popularne odmiany zielonej herbaty to: Sencha, Gen mai cha oraz Gunpowder.;1;http://localhost/images/product_images/genmaicha/img_0.jpg;1
;1;JAŚMINOWA;Herbata,Herbata Zielona,Herbata z jaśminem,Herbaty do restauracji;16.45;1;44;Herbata zielona Yunnan z dodatkiem kwiatu jaśminu.;Tradycyjna chińska zielona herbata Yunnan z dodatkiem kwiatu jaśminu. To doskonała propozycja do ciężko strawnych posiłków jak i do  poobiedniej sjesty.  Składniki: herbata zielona Yunnan, jaśmin  Kraj pochodzenia: Chiny;1;http://localhost/images/product_images/jaminowa/img_0.jpg;1
;1;KOREA JEJU OP;Herbata,Klasyczna,Herbata Zielona,Herbaty koreańskie;31.95;1;2;Wspaniała zielona herbata o żółto-zielonym naparze.;Ta wspaniała zielona herbata uprawiana jest na plantacjach położonych na wyspie Jeju u wybrzeży Korei Południowej. Żółto-zielony napar o łagodnym słodkawym smaku i delikatnym kwiatowym aromacie jest godny polecenia na każdą, nawet najbardziej wyjątkową okazję. Wyspę Jeju Dodano do Listy Światowego Dziedzictwa UNESCO ze względu na wyjątkowe środowisko naturalne. Na tej wulkanicznej wyspie panują bardzo dobre warunki do produkcji zielonej herbaty - słońce, średni poziom deszczu oraz bogate i urodzajne gleby. Koreańscy producenci herbaty byli zachęcani do wybierania tej wulkanicznej ziemi, właśnie ze względu na dogodne warunki uprawy. Aktualnie 23% całkowitego zbioru koreańskich liści herbaty pochodzi z Jeju.;1;http://localhost/images/product_images/koreajejuop/img_0.jpg;1
;1;SENCHA;Herbata,Herbata Zielona,Herbaty chińskie,Herbaty do gastronomii;13.45;1;66;Zielona herbata Sencha.;"Herbata w smaku goryczka sąsiaduje blisko ze słodyczą, sencha dosłownie tłumacząc ""duszona herbata"".";1;http://localhost/images/product_images/sencha/img_0.jpg;1
;1;SENCHA JAPAN STYLE;Herbata,Klasyczna,Herbata Zielona,Herbaty w puszkach firmowych,Herbaty chińskie,Herbaty do restauracji;19.45;1;2;Najpopularniejsza herbata typu japońskiego.;Herbatę zieloną Sencha otrzymuje się poddając suszeniu liście niezwłocznie po zerwaniu ich z krzewu, tak aby nie dopuścić do rozpoczęcia procesu utleniania. Dzięki temu utrzymuje ona więcej składników o leczniczych właściwościach, oraz posiada wiele walorów smakowych (ziołowy aromat oraz wyraźnie delikatniejszy smak niż pozostałe rodzaje herbat). Nasza Japońska Sencha pochodzi z chińskich plantacji, ale przygotowywana jest na sposób japoński. Obowiązujące w Japonii standardy dotyczące uprawy krzewów herbaty i obróbki suszu sprawiają, że herbata otrzymywana tą metodą jest najwyższej jakości.;1;http://localhost/images/product_images/senchajapanstyle/img_0.jpg, http://localhost/images/product_images/senchajapanstyle/img_1.jpg;1
;1;YUN MING ZIELONY;Herbata,Klasyczna,Herbata Zielona,Herbaty chińskie;31.95;1;58;Zielona herbata o lekko słodkawym smaku.;Herbata Yun Ming złożona jest z biało-zielonych liści herbacianych, ściśle skręconych w niewielkie kuleczki, które podczas zaparzania stopniowo rozwijają się do postaci całych liści. Dzięki temu napar powstaje wolniej niż w przypadku innych zielonych i umożliwia dostosowania zaparzenia do własnych preferencji smakowych.;1;http://localhost/images/product_images/yunmingzielony/img_0.jpg;1
;1;PU ERH;Herbata,Klasyczna,Herbata Pu Erh,Herbaty chińskie,Herbaty do restauracji;16.45;1;39;"Herbata czerwona nazywana ""zabójcą tłuszczu"".";Chińczycy mianem herbaty czerwonej określają zieloną, zawilgoconą, herbatę Pu Erh, którą poddaje się procesowi fermentacji w celu nadania jej głębszej, ciemniejszej barwy. Kiedyś zarezerwowana jedynie dla chińskiej rodziny cesarskiej z czasem stała się powszechnie dostępna. Gotowy napar posiada mocną, czerwonobrązową barwę i nabiera charakterystycznego, korzenno-ziemistego zapachu i posmaku. Napar z czerwonej herbaty działa pobudzająco na wytwarzanie soków trawiennych oraz stymuluje pracę jelit, co przyśpiesza metabolizm, a w efekcie końcowym wspomaga spalanie tłuszczów. Czerwona herbata obniża poziom cholesterolu i ciśnienie krwi, co poprawia również krążenie. To podstawa diety osób, które zdecydowały się na odchudzanie oraz tych, którym zależy na naturalnym oczyszczaniu organizmu.;1;http://localhost/images/product_images/puerh/img_0.jpg;1
;1;PU ERH SUPERIOR;Herbata,Klasyczna,Herbata Pu Erh,Herbaty chińskie;22.95;1;55;Wyśmienita odmiana herbaty czerwonej.;Chińczycy mianem herbaty czerwonej określają zieloną, zawilgoconą, herbatę Pu Erh, którą poddaje się procesowi fermentacji w celu nadania jej głębszej, ciemniejszej barwy. Kiedyś zarezerwowana jedynie dla chińskiej rodziny cesarskiej z czasem stała się powszechnie dostępna. Superior to doskonała odmiana herbaty Pu Erh o delikatnie ziemistym smaku. Bardzo skutecznie zastępuje małą czarną i dostarcza dawkę dobrego humoru na cały dzień. Napar z czerwonej herbaty działa pobudzająco na wytwarzanie soków trawiennych oraz stymuluje pracę jelit, co przyśpiesza metabolizm, a w efekcie końcowym wspomaga spalanie tłuszczów. Czerwona herbata obniża poziom cholesterolu i ciśnienie krwi, co poprawia również krążenie. To podstawa diety osób, które zdecydowały się na odchudzanie oraz tych, którym zależy na naturalnym oczyszczaniu organizmu.;1;http://localhost/images/product_images/puerhsuperior/img_0.jpg, http://localhost/images/product_images/puerhsuperior/img_1.jpg;1
;1;PU ERH TUOCHA;Herbata,Klasyczna,Herbata Pu Erh,Herbaty chińskie Yunnan;24.95;1;27;Herbata Pu erh w postaci sprasowanych gniazdek.;"Postać uformowanej chińskiej herbaty Pu Erh, która pochodzi z ogrodu Yongde w prowincji Yunnan. Odpowiednio dobrane i wyselekcjonowane listki poddano sprasowaniu w specjalnych formach, nadając im kształt gniazdek. Fermentacja tej herbaty odbywa się w wykorzystaniem procesu wu dui, który polega na uaktywnieniu naturalnych enzymów występujących w listkach. Po zaparzeniu otrzymujemy ciemnobordowy napar, który cechuje się wyrazistym lekko kasztanowym smakiem. Charakterystyczny posmak herbaty pu erh jest tu połączony z delikatnie słodową nutą, co nadaje całości pewnej lekkości. Wygodna forma herbaty sprawia, że jest ona ceniona, szczególnie przez osoby aktywnie spędzające czas czy podróżujące. Ulubiona wersja herbaty ""do pracy"".";1;http://localhost/images/product_images/puerhtuocha/img_0.jpg;1
